source,translated,context
Graph,رسم بياني,
Graph Explorer Help,مساعدة مستكشف الرسم البياني,
Great for auditing access during role changes or offboarding,مفيد لتدقيق الوصول أثناء تغيير الأدوار أو إنهاء الخدمة,
Green pills = Common,الحبوب الخضراء = مشترك,
Group,مجموعة,
grouped,مجمّع,
grouped into,مجمّع في,
Group Hierarchy,تسلسل المجموعات,
Groups,المجموعات,
Hard Prerequisite,شرط مسبق إلزامي,
hard prerequisite,شرط مسبق إلزامي,
Help,مساعدة,
Hierarchy,التسلسل الهرمي,
Import Config,استيراد الإعدادات,
Inactive,غير نشط,
inherits,يرث,
Integration Packs,حزم التكامل,
KPI cards show key metrics — click to drill down,بطاقات مؤشرات الأداء تعرض المقاييس الرئيسية — انقر للتفصيل,
Last 24h,آخر 24 ساعة,
Loading...,جارٍ التحميل...,
Loading graph...,جارٍ تحميل الرسم البياني...,
Loading help for:,تحميل المساعدة لـ:,
Manager,المدير,
Manager: Comparing Users,المدير: مقارنة المستخدمين,
Manager: Delegating Capabilities,المدير: تفويض الصلاحيات,
Manage User Capabilities →,إدارة صلاحيات المستخدم →,
mandatory,إلزامي,
Map Roles,تعيين الأدوار,
maps,يعيّن,
Members,الأعضاء,
members,أعضاء,
Module map shows CAPS components — click nodes to navigate,خريطة الوحدات تعرض مكونات CAPS — انقر على العقد للانتقال,
New Capability,صلاحية جديدة,
No,لا,
No active policies,لا توجد سياسات نشطة,
No audit entries,لا توجد إدخالات تدقيق,
No audit logs,لا توجد سجلات تدقيق,
No capabilities expiring soon,لا توجد صلاحيات تنتهي قريباً,
No capabilities found,لم يتم العثور على صلاحيات,
No data to display for this graph mode,لا توجد بيانات لعرضها في وضع الرسم هذا,
None,لا شيء,
Nothing expiring soon,لا شيء ينتهي قريباً,
Onboarding,البدء,
Onboarding Complete!,اكتمل دليل البدء!,
Onboarding complete! Welcome to CAPS.,اكتمل دليل البدء! مرحباً بك في CAPS.,
Only in,فقط في,
Only in {0},فقط في {0},
Open Compare →,فتح المقارنة →,
Open Graph Explorer →,فتح مستكشف الرسم →,
optional,اختياري,
Orange pills = Only User B,الحبوب البرتقالية = المستخدم ب فقط,
Organize users into permission groups with hierarchies,تنظيم المستخدمين في مجموعات أذونات مع تسلسل هرمي,
Overview of your Capability-Based Access Control system.,نظرة عامة على نظام التحكم بالوصول القائم على الصلاحيات.,
Parent→child capability relationships,علاقات الصلاحيات الأب→الابن,
Pending,معلّق,
Pending Requests,الطلبات المعلقة,
PENDING REQUESTS,الطلبات المعلقة,
Permission Group,مجموعة الأذونات,
Permission Groups,مجموعات الأذونات,
Permission group tree structure,هيكل شجرة مجموعات الأذونات,
Please select both users,يرجى اختيار كلا المستخدمين,
Policies,السياسات,
Policies & Requests,السياسات والطلبات,
Policy,سياسة,
Prerequisites,المتطلبات المسبقة,
Quick Actions,إجراءات سريعة,
Quick actions: export/import config bust cache,إجراءات سريعة: تصدير/استيراد الإعدادات ومسح الذاكرة المؤقتة,
Rate Limiting,تحديد المعدل,
Rate Limits,حدود المعدل,
Recent Audit Log,سجل التدقيق الأخير,
Refresh,تحديث,
Regular User,مستخدم عادي,
Reports,التقارير,
Request a Capability →,طلب صلاحية →,
Requests,الطلبات,
restricts,يقيّد,
Review capability requests from your team,مراجعة طلبات الصلاحيات من فريقك,
Role,دور,
Role → Capability Map,خريطة الدور → الصلاحية,
Role Capability Map,خريطة صلاحيات الأدوار,
Role Map,خريطة الدور,
Role Maps,خرائط الأدوار,
Rules,القواعد,
Select a user...,اختر مستخدم...,
Select two users and click Compare to see their capability differences.,اختر مستخدمين وانقر مقارنة لرؤية اختلافات الصلاحيات.,
Select two users to see their common and unique capabilities,اختر مستخدمين لرؤية صلاحياتهم المشتركة والفريدة,
Set time-boxed (temporary) capability grants,تعيين منح صلاحيات مؤقتة محددة الوقت,
Settings,الإعدادات,
Set Up Groups,إعداد المجموعات,
Shows capability parent→child relationships grouped by category,يعرض علاقات الصلاحيات الأب→الابن مجمعة حسب الفئة,
Shows Frappe roles mapped to CAPS capabilities,يعرض أدوار Frappe المعينة لصلاحيات CAPS,
Shows hard/soft prerequisite dependencies between capabilities,يعرض التبعيات المسبقة الإلزامية/الاختيارية بين الصلاحيات,
Shows permission group hierarchy and membership,يعرض تسلسل مجموعات الأذونات والعضوية,
Shows which capabilities are grouped into bundles,يعرض الصلاحيات المجمعة في حزم,
Site Profiles,ملفات المواقع,
Skip to Dashboard,تخطي إلى لوحة القيادة,
Snapshots,اللقطات,
Snapshots & Profiles,اللقطات والملفات,
Soft Prerequisite,شرط مسبق اختياري,
soft prerequisite,شرط مسبق اختياري,
subgroup,مجموعة فرعية,
System Architecture,بنية النظام,
Template,قالب,
The Graph Explorer visualizes your entire CAPS configuration:,يعرض مستكشف الرسم تكوين CAPS بالكامل:,
Toggle graph view for a visual network comparison,تبديل عرض الرسم لمقارنة شبكية مرئية,
Toggle the graph view for a visual network comparison.,تبديل عرض الرسم لمقارنة شبكية مرئية.,
Toggle Sidebar,تبديل الشريط الجانبي,
Total,الإجمالي,
total for,الإجمالي لـ,
Type,النوع,
Unique,فريد,
User,مستخدم,
User A,المستخدم أ,
User B,المستخدم ب,
User Capabilities,صلاحيات المستخدم,
User Capability,صلاحية المستخدم,
User Capability Lookup,البحث عن صلاحيات المستخدم,
User Caps,صلاحيات المستخدم,
User lookup inspects any user's capabilities,البحث يفحص صلاحيات أي مستخدم,
USERS,المستخدمون,
Users with Capabilities,المستخدمون ذوو الصلاحيات,
User Access Matrix,مصفوفة وصول المستخدم,
Use the Compare page to audit user access:,استخدم صفحة المقارنة لتدقيق وصول المستخدم:,
Version,الإصدار,
Viewing as,العرض كـ,
Welcome to CAPS,مرحباً بك في الصلاحيات,
What's Your Role?,ما هو دورك؟,
Which capabilities form each bundle,ما الصلاحيات التي تشكل كل حزمة,
with capabilities,مع صلاحيات,
Yes,نعم,
You can request additional capabilities if needed,يمكنك طلب صلاحيات إضافية عند الحاجة,
You're All Set!,أنت جاهز!,
You're ready to use CAPS. Remember you can always access help by clicking the ❓ icon on any CAPS page.,أنت جاهز لاستخدام CAPS. تذكر أنه يمكنك دائماً الوصول إلى المساعدة بالنقر على أيقونة ❓ في أي صفحة.,
Your Capabilities,صلاحياتك,
Your manager or admin assigns capabilities to you,يقوم مديرك أو المشرف بتعيين الصلاحيات لك,
Zone,المنطقة,
Export SVG,تصدير SVG,
Export PNG,تصدير PNG,
About CAPS,عن CAPS,
Action-Level Control,التحكم على مستوى الإجراءات,
Action Restriction,تقييد الإجراء,
Actions are enabled/disabled per your permissions,يتم تفعيل/تعطيل الإجراءات حسب صلاحياتك,
All reports: Coverage&#44; Access Matrix&#44; Audit,جميع التقارير: التغطية، مصفوفة الوصول، التدقيق,
Any Frappe app can declare CAPS capabilities via hooks.py,يمكن لأي تطبيق Frappe الإعلان عن صلاحيات CAPS عبر hooks.py,
App Map&#44; ERD&#44; Dependency Graph&#44; Storyboard&#44; Floating Window,خريطة التطبيق، ERD، رسم التبعيات، القصة المصورة، النافذة العائمة,
Approve or reject capability requests,الموافقة على أو رفض طلبات الصلاحيات,
Assign capabilities directly or via permission groups.,تعيين الصلاحيات مباشرة أو عبر مجموعات الأذونات.,
Assign capabilities from your delegated pool,تعيين الصلاحيات من مجموعتك المفوضة,
Assign to User,تعيين للمستخدم,
Assign to Users,تعيين للمستخدمين,
Audit&#44; Compliance & Reporting,التدقيق والامتثال والتقارير,
Auto-grant capabilities based on conditions,منح الصلاحيات تلقائياً بناءً على الشروط,
Boot session injection&#44; doc_events hooks&#44; real-time cache invalidation,حقن جلسة التمهيد، خطافات أحداث المستندات، إبطال ذاكرة التخزين المؤقت,
Bundle Item Help,مساعدة عنصر الحزمة,
Bundle & Map,تجميع وربط,
Capability Bundle Help,مساعدة حزمة الصلاحيات,
Capability Bundles,حزم الصلاحيات,
Capability Graph Explorer,مستكشف رسم الصلاحيات,
Capability Help,مساعدة الصلاحية,
Capability Policy Help,مساعدة سياسة الصلاحية,
Capability Prerequisite Help,مساعدة متطلبات الصلاحية,
Capability Rate Limit Help,مساعدة حد معدل الصلاحية,
Capability Request Help,مساعدة طلب الصلاحية,
Capability Snapshot Help,مساعدة لقطة الصلاحيات,
Capability Snapshots,لقطات الصلاحيات,
Capability-Based Access Control,التحكم بالوصول المبني على الصلاحيات,
CAPS Admin Dashboard with real-time stats,لوحة مشرف CAPS مع إحصائيات فورية,
CAPS Audit Log Help,مساعدة سجل تدقيق CAPS,
CAPS Integration Pack Help,مساعدة حزمة تكامل CAPS,
CAPS Managers,مدراء CAPS,
CAPS Settings Help,مساعدة إعدادات CAPS,
CAPS Site Profile Help,مساعدة ملف موقع CAPS,
Circular parent group reference detected.,تم اكتشاف مرجع دائري لمجموعة أب.,
Cleaner UI — no irrelevant fields or buttons,واجهة أنظف — بدون حقول أو أزرار غير ذات صلة,
Configure field & action restrictions,إعداد قيود الحقول والإجراءات,
Configure field and action maps for fine-grained control.,إعداد خرائط الحقول والإجراءات للتحكم الدقيق.,
Context,السياق,
Create atomic capabilities like 'View Cost Data' or 'Approve Invoice'.,إنشاء صلاحيات ذرية مثل 'عرض بيانات التكلفة' أو 'الموافقة على الفاتورة'.,
Create permission groups for teams,إنشاء مجموعات أذونات للفرق,
Create policies for automatic capability evaluation.,إنشاء سياسات لتقييم الصلاحيات التلقائي.,
Define Capabilities,تعريف الصلاحيات,
Define capabilities & bundles,تعريف الصلاحيات والحزم,
Define Capability,تعريف صلاحية,
Delegate capabilities to team members within your scope:,تفويض الصلاحيات لأعضاء الفريق ضمن نطاقك:,
Direct Users,المستخدمون المباشرون,
Employee-linked capability assignment&#44; department-based groups,تعيين صلاحيات مرتبطة بالموظف، مجموعات على أساس القسم,
Enable Policies,تفعيل السياسات,
End Users,المستخدمون النهائيون,
Entity Relationships,علاقات الكيانات,
Faster workflows — see only what matters,سير عمل أسرع — اعرض فقط ما يهم,
Field Capability Map Help,مساعدة خريطة صلاحيات الحقول,
Field-level cost masking&#44; action restrictions on transactions,إخفاء التكلفة على مستوى الحقل، تقييد الإجراءات على المعاملات,
Field-Level Restrictions,قيود على مستوى الحقل,
Field Restriction,تقييد الحقل,
Fields are automatically hidden or masked based on capabilities,يتم إخفاء الحقول أو تقنيعها تلقائياً بناءً على الصلاحيات,
Fine-Grained Capabilities,صلاحيات دقيقة,
For CAPS Managers,لمدراء CAPS,
For End Users,للمستخدمين النهائيين,
For more help&#44; visit,لمزيد من المساعدة، قم بزيارة,
For System Administrators,لمسؤولي النظام,
Full Name,الاسم الكامل,
Getting Started,البدء,
Go to CAPS Admin,الذهاب إلى إدارة CAPS,
Group Bundle Help,مساعدة حزمة المجموعة,
Group capabilities into bundles and map them to Frappe roles.,تجميع الصلاحيات في حزم وربطها بأدوار Frappe.,
Group Capability Help,مساعدة صلاحية المجموعة,
Group into Bundle,تجميع في حزمة,
Group Member Help,مساعدة عضو المجموعة,
Group related capabilities into reusable bundles,تجميع الصلاحيات المترابطة في حزم قابلة لإعادة الاستخدام,
Group Users,تجميع المستخدمين,
Hard/soft dependency chains,سلاسل تبعية صارمة/مرنة,
How CAPS Connects,كيف يتصل CAPS,
How CAPS DocTypes connect to each other.,كيف تتصل أنواع مستندات CAPS ببعضها.,
How it helps,كيف يساعد,
Impersonation stopped,تم إيقاف انتحال الشخصية,
Install frappe_visual for workflow visualization.,ثبّت frappe_visual لعرض سير العمل.,
Install frappe_visual to see the ERD.,ثبّت frappe_visual لعرض مخطط علاقات الكيانات.,
Install frappe_visual to see the interactive App Map.,ثبّت frappe_visual لعرض خريطة التطبيق التفاعلية.,
Integration Map,خريطة التكامل,
Interactive map of all CAPS modules and their relationships.,خريطة تفاعلية لجميع وحدات CAPS وعلاقاتها.,
IP Address,عنوان IP,
Label,التسمية,
Login audit integration,تكامل تدقيق تسجيل الدخول,
Manage site profiles & integrations,إدارة ملفات الموقع والتكاملات,
Map to Role,ربط بالدور,
Module Map,خريطة الوحدات,
Next,التالي,
or,أو,
Other Apps,تطبيقات أخرى,
Pending capability requests,طلبات الصلاحيات المعلقة,
Permission Group Help,مساعدة مجموعة الأذونات,
Permission group membership,عضوية مجموعة الأذونات,
Point-in-time snapshots of user capabilities for compliance reviews.,لقطات لحظية لصلاحيات المستخدم لمراجعات الامتثال.,
Policy Engine,محرك السياسات,
Policy engine with conditional rules,محرك سياسات بقواعد شرطية,
Policy Evaluation,تقييم السياسة,
Previous,السابق,
Quick actions: export/import config&#44; bust cache,إجراءات سريعة: تصدير/استيراد الإعدادات، مسح الذاكرة المؤقتة,
Quick Start Guide,دليل البدء السريع,
Rate limiting per capability to prevent abuse,تحديد المعدل لكل صلاحية لمنع الإساءة,
Real-time cache invalidation on permission changes,إبطال ذاكرة التخزين المؤقت فورياً عند تغيير الأذونات,
Request additional capabilities when needed,طلب صلاحيات إضافية عند الحاجة,
Result,النتيجة,
Review audit logs & snapshots,مراجعة سجلات التدقيق واللقطات,
Role Capability Bundle Help,مساعدة حزمة صلاحيات الدور,
Role Capability Item Help,مساعدة عنصر صلاحيات الدور,
Role Capability Map Help,مساعدة خريطة صلاحيات الدور,
Runtime Enforcement,التطبيق أثناء التشغيل,
Security Features,ميزات الأمان,
Security & Reports,الأمان والتقارير,
Self-service capability requests,طلبات صلاحيات الخدمة الذاتية,
Set Restrictions,تعيين القيود,
Set time-boxed access for temporary needs,تعيين وصول محدد المدة للاحتياجات المؤقتة,
Set up policies & rate limits,إعداد السياسات وحدود المعدل,
Start Onboarding,بدء التأهيل,
Stop,إيقاف,
System Administrators,مسؤولو النظام,
Team capability overview,نظرة عامة على صلاحيات الفريق,
Time-Boxed Access,وصول محدد المدة,
Time-boxed capabilities with automatic expiry,صلاحيات محددة المدة مع انتهاء تلقائي,
Timestamp,الطابع الزمني,
Total Coverage,التغطية الكلية,
Transparent access reasoning,تبرير الوصول الشفاف,
User Capability Bundle Help,مساعدة حزمة صلاحيات المستخدم,
User Capability Help,مساعدة صلاحيات المستخدم,
User Capability Item Help,مساعدة عنصر صلاحيات المستخدم,
User Comparison Tool,أداة مقارنة المستخدمين,
Users,المستخدمون,
View your current capability profile,عرض ملف صلاحياتك الحالي,
What is CAPS?,ما هو CAPS?,
What you do,ما تفعله,
What you experience,ما تختبره,
What you see,ما تراه,
Workflow: Granting Access,سير العمل: منح الوصول,
100%,١٠٠%
"A Capability represents a single atomic permission — e.g. 'View Cost Data' or 'Approve Invoice'. Capabilities are the building blocks of CAPS access control. They can be assigned directly to users, grouped into bundles, or mapped to Frappe roles.","الصلاحية تمثّل إذن ذري واحد — مثل 'عرض بيانات التكلفة' أو 'اعتماد الفاتورة'. الصلاحيات هي اللبنات الأساسية للتحكم في الوصول عبر CAPS. يمكن تعيينها مباشرة للمستخدمين أو تجميعها في حزم أو ربطها بأدوار Frappe."
Action Capability Map,خريطة صلاحيات الإجراءات
Action Capability Map Help,مساعدة خريطة صلاحيات الإجراءات
Action Capability Maps — which buttons and workflows are gated,خرائط صلاحيات الإجراءات — أي الأزرار ومسارات العمل مقيّدة
Action Gates,بوابات الإجراءات
Action-Level Gates,بوابات مستوى الإجراء
Action-level gating,تقييد على مستوى الإجراء
Activity Log only,سجل النشاط فقط
"Any Frappe app can declare caps_capabilities and caps_field_maps in hooks.py for instant CAPS integration.","يمكن لأي تطبيق Frappe الإعلان عن caps_capabilities و caps_field_maps في hooks.py للتكامل الفوري مع CAPS."
"Any Frappe app can declare its capabilities in hooks.py — CAPS auto-discovers and enforces them.","يمكن لأي تطبيق Frappe الإعلان عن صلاحياته في hooks.py — يكتشفها CAPS تلقائياً ويطبّقها."
App Map · ERD · Dependency Graph · Storyboard · Floating Window · Icon System,خريطة التطبيق · ERD · رسم التبعيات · القصة المصوّرة · النافذة العائمة · نظام الأيقونات
"As an auditor, CAPS provides comprehensive access verification tools:",بصفتك مدققاً، يوفر لك CAPS أدوات شاملة للتحقق من الوصول:
"As ERPNext System Manager, CAPS bridges Frappe roles to granular business access:",بصفتك مدير نظام ERPNext، يربط CAPS أدوار Frappe بصلاحيات الأعمال الدقيقة:
"As Information Security Manager, CAPS is your compliance engine:","بصفتك مدير أمن المعلومات، CAPS هو محرك الامتثال لديك:"
"A single capability entry within a Capability Bundle. Each item references one Capability and optionally sets override parameters.","إدخال صلاحية واحد ضمن حزمة صلاحيات. يشير كل عنصر إلى صلاحية واحدة مع إمكانية تعيين معلمات تجاوز."
"A single capability entry within a Role Capability Map. Links one Frappe role to one CAPS capability.","إدخال صلاحية واحد ضمن خريطة صلاحيات الدور. يربط دور Frappe واحد بصلاحية CAPS واحدة."
"A single capability entry within a User Capability record. Tracks assignment source, dates, and delegation status.","إدخال صلاحية واحد ضمن سجل صلاحيات المستخدم. يتتبع مصدر التعيين والتواريخ وحالة التفويض."
"As IT Manager, you own the CAPS infrastructure:","بصفتك مدير تقنية المعلومات، أنت المسؤول عن بنية CAPS:"
Assign to Users & Groups,التعيين للمستخدمين والمجموعات
"As the IT manager, CAPS gives you centralized control over system-wide access policies — from multi-site deployment to integration management.","بصفتك مدير تقنية المعلومات، يمنحك CAPS تحكماً مركزياً في سياسات الوصول على مستوى النظام — من النشر متعدد المواقع إلى إدارة التكامل."
Atomic capabilities,صلاحيات ذرية
Atomic Capabilities,صلاحيات ذرية
Audit log shows if conflicting capabilities were ever co-assigned,يُظهر سجل التدقيق ما إذا كانت صلاحيات متعارضة قد عُيّنت معاً
📋 Auditor,📋 مدقق
Auditor: Compliance Checks,المدقق: فحوصات الامتثال
Auditor → relies on the audit trail and snapshots you configure,المدقق ← يعتمد على مسار التدقيق واللقطات التي تُعدّها
Auditor: Review Process,المدقق: عملية المراجعة
Auditor — Verification & Compliance Assurance,المدقق — التحقق وضمان الامتثال
"Audit Report — full trail of grants, revocations, and escalations","تقرير التدقيق — مسار كامل للمنح والسحب والتصعيد"
Audit trail,مسار التدقيق
Audit Trail,مسار التدقيق
Audit workflows,سير عمل التدقيق
"A user's membership in a Permission Group. Can have an expiry date for temporary membership. When expired, the user loses group capabilities automatically.","عضوية المستخدم في مجموعة أذونات. يمكن تحديد تاريخ انتهاء للعضوية المؤقتة. عند الانتهاء، يفقد المستخدم صلاحيات المجموعة تلقائياً."
"Auto-grant/revoke capabilities based on conditions (department, role, time)","منح/سحب تلقائي للصلاحيات بناءً على شروط (القسم، الدور، الوقت)"
BOM cost protection — restrict access to production costs,حماية تكلفة قائمة المواد — تقييد الوصول لتكاليف الإنتاج
"Boot session injection · doc_events hooks · Real-time cache invalidation · Permission query builder override","حقن جلسة التمهيد · خطافات أحداث المستندات · إبطال ذاكرة التخزين المؤقت فورياً · تجاوز منشئ استعلام الأذونات"
"Bridge the gap between Frappe roles and real business needs. CAPS lets you control exactly which fields, actions, and workflows each user can access — down to individual form fields.","سد الفجوة بين أدوار Frappe واحتياجات الأعمال الحقيقية. يتيح لك CAPS التحكم بدقة في الحقول والإجراءات ومسارات العمل لكل مستخدم — حتى مستوى حقل النموذج الفردي."
Build Bundles & Map Roles,بناء الحزم وربط الأدوار
"Build Capability Bundles for common job functions (Accountant, Sales Manager, etc.)","بناء حزم صلاحيات للوظائف الشائعة (محاسب، مدير مبيعات، إلخ)"
Built-in,مدمج
Built-in Frappe Roles,أدوار Frappe المدمجة
"Bundles group related capabilities together for easier assignment. For example, a 'Finance Viewer' bundle might include 'View Invoices', 'View Payments', and 'View Cost Data'. Assign a bundle instead of individual capabilities.","تجمع الحزم الصلاحيات المتعلقة معاً لتسهيل التعيين. مثلاً، حزمة 'عارض المالية' قد تشمل 'عرض الفواتير' و'عرض المدفوعات' و'عرض بيانات التكلفة'. عيّن حزمة بدلاً من صلاحيات فردية."
Business value,القيمة التجارية
Capability Coverage report — gaps in access control across the system,تقرير تغطية الصلاحيات — ثغرات التحكم في الوصول عبر النظام
Capability Coverage Report — identify unused or over-assigned capabilities,تقرير تغطية الصلاحيات — تحديد الصلاحيات غير المستخدمة أو المفرطة التعيين
Capability Graph Explorer — full system topology,مستكشف رسم الصلاحيات — الهيكل الكامل للنظام
Capability Policies,سياسات الصلاحيات
Capability Requests,طلبات الصلاحيات
Capability Snapshots — point-in-time access states for any date,لقطات الصلاحيات — حالة الوصول في أي تاريخ محدد
CAPS Admin Dashboard — real-time capability utilization metrics,لوحة إدارة CAPS — مقاييس استخدام الصلاحيات فورياً
CAPS Audit Log — every capability change timestamped and attributed,سجل تدقيق CAPS — كل تغيير في الصلاحيات مؤرخ ومنسوب
"CAPS brings enterprise-grade access governance to the Frappe ecosystem — at a fraction of the cost of SAP GRC or Oracle Access Governance, with deep native integration.","يجلب CAPS حوكمة وصول بمستوى المؤسسات لنظام Frappe — بجزء بسيط من تكلفة SAP GRC أو Oracle Access Governance، مع تكامل أصلي عميق."
"CAPS delivers enterprise-grade, fine-grained access governance for Frappe applications. Move beyond traditional role-based permissions to atomic capability control — every user receives precisely the access they need, fully auditable and compliant.","يقدم CAPS حوكمة وصول دقيقة بمستوى المؤسسات لتطبيقات Frappe. تجاوز الأذونات التقليدية القائمة على الأدوار إلى التحكم الذري بالصلاحيات — كل مستخدم يحصل على الوصول المطلوب تحديداً، قابل للتدقيق ومتوافق تماماً."
"CAPS discovers capabilities from all installed apps at boot time. No code changes needed in the CAPS app itself.","يكتشف CAPS الصلاحيات من جميع التطبيقات المثبتة عند التشغيل. لا حاجة لتغييرات برمجية في تطبيق CAPS نفسه."
"CAPS has 14 core DocTypes that form a complete access governance framework. Here's how they connect:","يحتوي CAPS على 14 نوع مستند أساسي تشكّل إطار حوكمة وصول متكامل. إليك كيفية ارتباطها:"
"CAPS integrates natively with the Frappe/ERPNext ecosystem — no middleware, no external dependencies.","يتكامل CAPS أصلياً مع نظام Frappe/ERPNext — بدون وسيط، بدون تبعيات خارجية."
